ENG1003,"1.1a,1.2a,1.3a,1.5a,1.5b,1.5d,1.6d,1.6e,2.1c,2.1e,2.2a,2.2c,2.2d,2.2e,2.2j,2.3c,2.4d,3.2a,3.2b,3.3c,3.4a,3.4c,3.5a,3.5f,3.6a,3.6b,"
ENG1060,"1.1a,1.2a,1.3a,2.1e,2.2a,2.2b,2.2d,2.2g,3.3a,"
ENG1005,""
ENG1090,""
ENG2005,""
ENG1001,"1.1a,1.2a,1.3a,2.4a,3.2a,3.2b,3.3a,3.5d,3.6a,3.6b,3.6c,3.6d,3.6e,3.6f,"
ENG1002,"1.1a,1.2a,1.3a,1.4a,1.4b,2.1b,2.4a,3.2a,3.2b,3.4a,3.4b,3.6a,3.6b,3.6c,3.6d,3.6e,3.6f,"
ENG2801,""
ECE2111,"1.1a,1.2a,1.3a,2.1a,2.1b,2.1e,2.1f,2.2b,2.2d,2.2g,3.2b,"
ECE2072,"1.1a,1.2a,1.3a,1.4a,1.5a,1.5c,2.1a,2.1c,2.1e,2.1f,2.2a,2.2b,2.2c,2.2d,2.2e,2.2f,2.2g,2.2h,2.2i,2.2j,2.3a,2.3b,2.3c,2.3d,2.4a,3.1b,3.1d,3.3a,3.5a,3.5c,3.5d,3.5e,3.6c,"
ECE3051,"PE1.1,PE1.2,PE1.3,PE1.4,PE2.1,PE2.2,PE2.3,PE2.4,PE2.5,PE2.6,PE3.1,PE3.2,PE3.3,PE3.4,PE3.5,PE3.6,"
ECE3062,""
ECE2191,"1.1a,2.1a,"
ECE3091,"PE1.1,PE1.2,PE1.3,PE1.4,PE2.1,PE2.2,PE2.3,PE2.4,PE2.5,PE2.6,PE3.1,PE3.2,PE3.3,PE3.4,PE3.5,PE3.6,"
ECE3121,"1.1a,1.2a,1.3a,1.4a,1.4b,1.5a,1.5b,1.6a,1.6b,1.6c,1.6d,2.1a,2.1b,2.1c,2.1h,2.2a,2.2b,2.2c,2.2d,2.2e,2.2f,2.2g,2.2h,2.3a,2.4a,2.4b,3.1a,3.1b,3.1c,3.1d,3.2a,3.2b,3.3a,3.4a,3.4b,3.5b,3.5c,3.5d,3.5e,3.6a,3.6b,3.6c,3.6d,3.6e,"
ECE4042,""
ECE4053,"PE1.1,PE1.2,PE1.3,PE1.4,PE2.1,PE2.2,PE2.3,PE2.4,PE3.1,PE3.2,PE3.5,"
ECE4032,""
ECE4043,"1.1a,1.2a,1.3a,1.4a,1.4b,1.5a,1.5b,1.5c,1.6d,1.6e,2.1a,2.1b,2.1c,2.1d,2.1e,2.1f,2.1g,2.2a,2.2b,2.2c,2.2d,2.2e,2.2f,2.2g,2.3a,2.3b,2.3c,2.3d,3.1b,3.2a,3.2b,3.3a,3.3b,3.3c,3.4a,3.4b,3.5d,3.5e,"
ECE4076,"PE1.1,PE1.2,PE1.3,PE1.4,PE2.1,PE2.2,PE2.3,PE2.4,PE2.5,PE2.6,PE3.1,PE3.2,PE3.3,PE3.4,PE3.5,PE3.6,"
TRC3600,"1.1a,1.2a,1.3a,1.4a,1.5a,1.6e,2.1a,2.1b,2.1c,2.1e,2.2b,2.2c,2.2d,2.2e,2.3a,2.4a,3.1c,3.2b,3.3a,3.4b,3.5a,3.6c,"
ECE4087,"1.1a,1.2a,1.3a,1.4a,1.4b,1.5a,1.5b,1.5c,1.5d,1.5e,1.5f,1.6a,1.6b,1.6c,1.6d,1.6e,2.1a,2.2a,2.2j,2.4a,2.4b,2.4c,2.4d,2.4e,2.4f,3.1a,3.1b,3.1c,3.1d,3.2a,3.2b,3.3a,3.3b,3.3c,3.4a,3.4b,3.4c,3.5a,3.5b,3.5c,3.5d,3.5e,3.5f,3.6a,3.6b,3.6c,3.6d,3.6e,3.6f,"
MEC2407,""
MTH1030,""
ECE4094,"1.1a,1.2a,1.3a,1.4a,1.4b,1.5a,1.5b,1.5c,1.6a,1.6b,1.6c,1.6d,1.6e,2.1a,2.1b,2.1c,2.1d,2.1e,2.1f,2.2a,2.2b,2.2c,2.2d,2.2e,2.2f,2.2g,2.2h,2.3a,2.3b,2.3c,2.3d,2.4a,2.4b,2.4d,2.4e,3.2a,3.2b,3.3a,3.3b,3.3c,3.4a,3.4b,3.4c,3.5a,3.5b,3.5c,3.5d,3.5e,3.5f,3.6a,3.6b,3.6c,3.6d,3.6e,3.6f,"
ECE4095,"1.1a,1.2a,1.3a,1.4a,1.4b,1.5a,1.5b,1.5c,1.6a,1.6b,1.6c,1.6d,1.6e,2.1a,2.1b,2.1c,2.1d,2.1e,2.1f,2.2a,2.2b,2.2c,2.2d,2.2e,2.2f,2.2g,2.2h,2.3a,2.3b,2.3c,2.3d,2.4a,2.4b,2.4d,2.4e,3.2a,3.2b,3.3a,3.3b,3.3c,3.4a,3.4b,3.4c,3.5a,3.5b,3.5c,3.5d,3.5e,3.5f,3.6a,3.6b,3.6c,3.6d,3.6e,3.6f,"
MEC3458,"1.1a,1.2a,1.3a,1.4a,1.5b,1.6a,1.6b,1.6d,2.1a,2.1b,2.1c,2.1d,2.1e,2.1h,2.2a,2.2b,2.2d,2.2f,2.2g,2.2h,2.3a,2.4a,2.4b,2.4e,3.1a,3.1c,3.2a,3.2b,3.3a,3.3b,3.4a,3.4b,3.5a,3.5d,3.5e,3.6a,3.6b,3.6c,3.6d,3.6f,"
ECE4122,"1.1a,1.2a,1.3a,1.4a,1.4b,1.5a,1.5b,1.5c,1.5d,1.5e,1.5f,1.6a,1.6c,1.6d,2.1a,2.1b,2.1c,2.1g,2.1h,2.1i,2.2c,2.2d,2.2e,2.2f,2.3d,2.4c,2.4e,2.4f,3.2a,3.2b,3.3a,3.3b,3.3c,3.4b,3.4c,3.5a,3.5b,3.5c,3.5d,3.5e,3.5f,3.6a,3.6b,3.6c,3.6d,3.6e,3.6f,"
